Gene,Xobs
YBR244W,0.502822
YBR245C,0.128343
YBR246W,0.215555
YBR247C,0.354423
YBR248C,0.570563
YBR249C,2.690506
YBR250W,0.020306
YBR251W,0.139407
YBR252W,1.853098
YBR253W,0.089372
YBR254C,0.366856
YBR255W,0.025993
YBR256C,0.484388
YBR257W,0.101047
YBR258C,0.104028
YBR259W,0.007645
YBR260C,0.095765
YBR261C,0.748107
YBR262C,0.650842
YBR263W,1.37124
YBR264C,0.384963
YBR265W,0.461901
YBR267W,0.3601
YBR268W,1.003748
YBR269C,0.243336
YBR270C,0.013987
YBR271W,0.166576
YBR272C,0.078071
YBR273C,0.304828
YBR274W,0.087673
YBR275C,0.025462
YBR276C,0.100306
YBR278W,0.102547
YBR279W,0.301305
YBR280C,0.05356
YBR281C,0.096046
YBR282W,0.642176
YBR283C,1.685894
YBR284W,0.012369
YBR285W,0.03085
YBR286W,5.181058
YBR287W,0.417812
YBR288C,0.288547
YBR289W,0.063514
YBR290W,0.215724
YBR291C,0.119199
YBR293W,0.042412
YBR294W,0.003501
YBR295W,0.011466
YBR296C,0.067259
YBR297W,0.015832
YBR298C,0.036927
YBR299W,0.026707
YBR301W,0.488661
YBR302C,0.399532
YCL001W,0.146665
YCL002C,0.042464
YCL004W,0.003919
YCL005W,0.054909
YCL008C,0.026317
YCL009C,0.945814
YCL010C,0.042584
YCL011C,1.202904
YCL014W,0.007899
YCL016C,0.105186
YCL017C,0.698146
YCL018W,0.14728
YCL019W,0.450381
YCL024W,0.010249
YCL025C,0.318744
YCL026CA,0.062294
YCL027W,0.050368
YCL028W,0.614077
YCL029C,0.124585
YCL030C,0.850093
YCL031C,0.296445
YCL032W,0.084885
YCL033C,0.857766
YCL034W,0.627529
YCL035C,1.928943
YCL036W,0.328811
YCL037C,0.246962
YCL038C,0.10371
YCL039W,0.042901
YCL040W,1.939645
YCL042W,0.747448
YCL043C,4.214575
YCL044C,0.090257
YCL045C,0.412872
YCL047C,0.141904
YCL048W,0.015586
YCL049C,0.119354
YCL050C,1.777496
YCL051W,0.01179
YCL052C,0.112882
YCL054W,0.292651
YCL055W,0.03949
YCL056C,1.530407
YCL057W,0.22375
YCL059C,0.302254
YCL061C,0.015808
YCL063W,0.065675
YCL064C,0.918167
YCL066W,0.066947
YCL067C,0.299834
YCL068C,0.026949
YCL069W,0.013604
YCL073C,0.039488
YCR002C,1.017992
YCR003W,0.262246
YCR004C,1.099853
YCR005C,0.517095
YCR007C,0.016566
YCR008W,0.062246
YCR009C,0.776128
YCR010C,0.046009
YCR011C,0.297038
YCR012W,54.492843
YCR014C,0.032189
YCR015C,0.043016
YCR016W,0.241492
YCR017C,0.375309
YCR018C,0.063071
YCR019W,0.050394
YCR020C,0.059962
YCR020CA,0.068014
YCR021C,0.0632
YCR023C,0.109116
YCR024C,0.021906
YCR024CA,10.831013
YCR026C,0.111257
YCR027C,0.024865
YCR028C,0.054799
YCR028CA,1.078254
YCR030C,0.075011
YCR031C,16.989177
YCR032W,0.013992
YCR033W,0.03948
YCR034W,1.421041
YCR035C,0.525439
YCR036W,0.147977
YCR037C,0.023942
YCR038C,0.00799
YCR039C,0.457929
YCR040W,0.078195
YCR042C,0.052317
YCR043C,0.149498
YCR044C,0.328579
YCR045C,0.006624
YCR046C,0.279731
YCR047C,0.771993
YCR048W,0.235952
YCR051W,1.063696
YCR052W,0.193725
YCR053W,2.128118
YCR054C,0.043222
YCR057C,0.122044
YCR059C,0.310651
YCR060W,0.378536
YCR061W,0.141813
YCR063W,0.003755
YCR065W,0.036103
YCR066W,0.027702
YCR067C,0.115732
YCR068W,0.008522
YCR069W,0.376256
YCR071C,0.231229
YCR072C,0.318749
YCR073C,0.022092
YCR073WA,0.898081
YCR075C,0.094442
YCR076C,0.247911
YCR077C,0.418917
YCR079W,0.085797
YCR081W,0.011621
YCR082W,0.778377
YCR083W,0.288221
YCR084C,0.318783
YCR086W,0.084262
YCR088W,0.391369
YCR089W,0.020208
YCR090C,0.363796
YCR091W,0.010006
YCR092C,0.019191
YCR093W,0.032865
YCR094W,0.050268
YCR095C,0.08306
YCR096C,0.278916
YCR097W,0.130575
YCR098C,0.020858
YCR099C,0.001335
YCR100C,0.005214
YCR101C,0.005383
YCR102C,0.020836
YCR104W,0.615816
YCR105W,0.032008
YCR106W,0.003374
YCR107W,0.006365
YDL001W,0.098543
YDL002C,0.185712
YDL003W,0.177566
YDL004W,0.874888
YDL005C,0.154678
YDL006W,0.074037
YDL007W,1.493307
YDL008W,0.404789
YDL010W,0.178076
YDL012C,1.328023
YDL013W,0.051596
YDL014W,3.691287
YDL015C,1.158338
YDL017W,0.058898
YDL018C,0.099002
YDL019C,0.136882
YDL020C,0.04946
YDL021W,0.019371
