Gene,phi
YDR172W,1.470013
YDR177W,1.604851
YDR178W,0.726589
YDR179C,0.041401
YDR180W,0.055595
YDR181C,0.065097
YDR182W,0.420543
YDR184C,0.151036
YDR189W,0.272194
YDR194C,0.262505
YDR200C,0.019359
YDR201W,0.167582
YDR210W,3.749391
YDR216W,0.008275
YDR218C,0.012336
YDR219C,0.025197
YDR221W,0.045215
YDR222W,0.03902
YDR226W,7.386768
YDR227W,0.046479
YDR228C,0.08419
YDR231C,0.117548
YDR232W,0.433512
YDR235W,0.03262
YDR236C,0.107962
YDR237W,0.279318
YDR238C,0.719977
YDR239C,0.117292
YDR240C,0.018821
YDR243C,0.058213
YDR244W,0.031807
YDR245W,0.751997
YDR247W,0.01735
YDR252W,0.019614
YDR257C,0.054262
YDR263C,0.018999
YDR272W,0.580315
YDR275W,0.043764
YDR276C,5.322459
YDR277C,0.012167
YDR282C,0.069048
YDR284C,0.393504
YDR285W,0.026658
YDR286C,0.125724
YDR287W,0.124576
YDR288W,0.043592
YDR289C,0.054958
YDR292C,0.341005
YDR293C,0.145512
YDR297W,1.300675
YDR303C,0.042982
YDR304C,1.978158
YDR309C,0.327736
YDR310C,0.043721
YDR312W,0.103689
YDR313C,0.013041
YDR320C,0.043504
YDR321W,1.018069
YDR322W,0.321802
YDR324C,0.388582
YDR329C,0.182205
YDR332W,0.004534
YDR333C,0.082783
YDR335W,0.176263
YDR341C,2.900692
YDR346C,0.50262
YDR349C,0.163357
YDR350C,0.020979
YDR357C,0.306956
YDR358W,0.089116
YDR361C,0.40978
YDR363W,0.017312
YDR369C,0.011572
YDR370C,0.059942
YDR374C,0.012146
YDR375C,0.04338
YDR376W,0.032806
YDR380W,0.390418
YDR383C,0.037807
YDR391C,0.203439
YDR397C,0.38847
YDR398W,0.712887
YDR406W,0.020531
YDR408C,0.481794
YDR415C,0.165296
YDR416W,0.046699
YDR418W,5.001888
YDR420W,0.032226
YDR421W,0.011287
YDR424C,1.115004
YDR434W,0.329709
YDR436W,0.011122
YDR437W,0.044371
YDR448W,0.121413
YDR450W,10.481391
YDR454C,3.057397
YDR460W,0.105549
YDR461W,0.837592
YDR464W,0.181572
YDR466W,0.058708
YDR468C,0.224574
YDR471W,4.752072
YDR483W,1.969447
YDR490C,0.108367
YDR493W,0.227659
YDR501W,0.01373
YDR502C,0.894991
YDR504C,0.76458
YDR506C,0.08774
YDR508C,1.125194
YDR511W,0.221845
YDR513W,0.940307
YDR514C,0.131602
YDR516C,0.375037
YDR517W,0.478228
YDR524C,0.028207
YDR527W,0.096003
YDR528W,0.014436
YDR536W,0.014072
YDR539W,0.189688
YDR541C,0.014856
YDR545W,0.260675
YEL011W,0.0399
YEL012W,0.152729
YEL015W,0.176731
YEL017CA,18.591893
YEL017W,0.136381
YEL018W,0.206006
YEL020C,0.063019
YEL021W,0.122813
YEL024W,0.35678
YEL025C,0.007618
YEL026W,4.960373
YEL029C,0.033703
YEL032W,0.258396
YEL035C,0.013393
YEL037C,0.775857
YEL042W,0.686586
YEL044W,0.655078
YEL047C,0.602806
YEL048C,0.013094
YEL054C,3.229846
YEL061C,0.004606
YEL062W,0.014986
YEL069C,0.006497
YEL070W,0.023324
YEL075C,0.037779
YEL077C,0.069195
YER004W,0.78593
YER006W,0.970347
YER007W,0.031754
YER012W,1.499303
YER015W,0.021662
YER017C,0.225651
YER019CA,1.767178
YER019W,0.404109
YER021W,0.742528
YER022W,0.189054
YER026C,0.663303
YER030W,1.004416
YER032W,0.03885
YER036C,1.755256
YER038C,0.010559
YER044CA,0.018726
YER045C,0.049937
YER046W,0.158193
YER049W,0.876165
YER051W,0.024769
YER054C,0.011038
YER056C,1.657639
YER057C,1.70403
YER058W,0.423622
YER059W,0.090272
YER066W,0.122163
YER067W,0.072909
YER068W,0.04154
YER069W,0.150506
YER070W,0.333237
YER071C,0.168707
YER073W,0.50415
YER079W,0.126133
YER087W,0.121339
YER089C,0.455715
YER091C,1.240644
YER102W,26.998544
YER104W,0.025864
YER105C,0.152294
YER110C,0.575196
YER114C,0.064676
YER115C,0.057676
YER118C,0.287146
YER119C,0.092262
YER124C,0.144731
YER128W,0.064587
YER129W,0.012132
YER131W,2.500954
YER133W,0.75963
YER137C,0.202485
YER140W,0.064572
YER142C,0.039276
YER146W,0.943494
YER147C,0.096389
YER152C,0.22337
YER153C,0.026765
YER154W,0.529446
YER156C,0.757712
YER157W,0.046986
YER162C,0.020524
YER166W,0.054164
YER167W,0.052426
YER172C,0.015013
YER177W,10.36358
YER178W,2.258723
YER180C,0.011591
YER183C,0.24202
YER184C,0.008251
YER187W,0.026306
YER190W,0.061217
YFL005W,0.535922
YFL008W,0.040982
YFL013C,0.080631
YFL016C,0.330415
YFL017C,0.383265
YFL017WA,1.017957
YFL028C,0.526635
YFL029C,0.087645
YFL033C,0.041921
YFL034W,0.020468
YFL040W,0.006916
YFL042C,0.038844
YFL044C,0.164943
YFL054C,0.029383
YFL055W,0.046321
YFL056C,0.00709
YFL057C,0.741899
YFL058W,0.03289
YFL061W,0.015403
YFL065C,0.045676
YFR001W,0.432485
YFR003C,0.311019
YFR006W,0.745902
YFR007W,0.082512
YFR014C,0.046626
YFR016C,0.076919
YFR018C,0.171312
YFR021W,0.053978
YFR023W,0.016946
YFR027W,0.0214
YFR032C,0.004198
YFR034C,0.084912
YFR035C,0.046133
YFR039C,0.120381
YFR040W,0.016747
YFR042W,0.159146
YFR044C,3.333147
YFR049W,0.526995
YFR051C,0.894217
YGL010W,0.035767
YGL013C,0.065413
YGL016W,0.121571
YGL018C,0.044782
YGL020C,0.772061
YGL021W,0.059586
YGL022W,0.798833
YGL025C,0.058718
YGL027C,0.272709
YGL029W,0.959411
YGL031C,24.620015
YGL037C,2.37808
YGL039W,0.23689
YGL040C,0.965704
YGL051W,0.029977
YGL054C,0.58805
YGL058W,0.612989
YGL060W,0.094525
YGL064C,0.020349
YGL073W,0.043771
YGL075C,0.007575
YGL076C,12.880257
YGL081W,0.031951
YGL082W,0.277901
YGL085W,0.048178
YGL086W,0.057008
YGL087C,0.725712
YGL089C,0.10281
YGL093W,0.062103
YGL096W,0.027443
YGL098W,0.026884
YGL101W,0.264496
YGL106W,1.543546
YGL108C,0.096105
YGL116W,0.041955
YGL117W,0.103825
YGL120C,0.731271
YGL122C,0.727928
YGL123W,18.688856
YGL124C,0.021424
YGL125W,0.051537
YGL126W,0.737482
YGL129C,0.08153
YGL131C,0.012193
YGL133W,0.023361
YGL136C,0.103637
YGL137W,0.782546
YGL138C,0.014627
YGL141W,0.033727
YGL146C,0.00634
YGL147C,6.907361
YGL150C,0.020627
YGL151W,0.070748
YGL153W,0.146991
YGL155W,0.081246
YGL168W,0.420067
YGL171W,0.460805
YGL173C,0.299944
YGL178W,0.114244
YGL180W,0.005206
YGL185C,0.098226
YGL187C,0.509262
YGL190C,0.068082
YGL192W,0.001728
YGL198W,0.702494
YGL210W,0.322022
YGL211W,0.12168
YGL212W,0.019594
YGL213C,0.258287
YGL216W,0.045747
YGL220W,1.281593
YGL221C,1.098614
YGL224C,0.15705
YGL226W,0.152459
YGL227W,0.009493
YGL229C,0.018356
YGL230C,0.036924
YGL233W,0.084424
YGL238W,0.207652
YGL241W,0.071803
YGL247W,0.151652
YGL248W,0.150906
YGL250W,0.039366
YGL253W,8.702526
YGL259W,0.010191
YGL262W,0.016
YGR002C,0.080627
YGR004W,0.081456
YGR006W,0.024073
YGR008C,0.645976
YGR015C,0.016173
YGR016W,0.012886
YGR017W,0.165166
YGR019W,0.355799
YGR021W,0.10162
YGR033C,0.171251
YGR036C,0.097255
YGR038W,0.410455
YGR041W,0.036305
YGR043C,0.036722
YGR044C,0.320815
YGR046W,0.046699
YGR049W,0.24748
YGR056W,0.018765
YGR061C,1.127671
YGR067C,0.048815
YGR068C,0.009996
YGR070W,0.014417
YGR072W,0.032763
YGR075C,0.074757
YGR077C,0.140141
YGR078C,0.572842
YGR082W,1.188622
YGR086C,1.360149
YGR089W,0.02394
YGR090W,0.265156
YGR092W,0.031208
YGR093W,0.107891
YGR094W,1.355771
YGR095C,0.964647
YGR099W,0.030524
YGR100W,0.054128
YGR101W,0.202245
YGR105W,0.828287
YGR109C,0.032924
YGR111W,0.084256
YGR122W,0.023344
YGR125W,0.172685
YGR129W,0.09061
YGR131W,0.075222
YGR132C,0.501037
YGR133W,0.036801
YGR138C,0.094675
YGR141W,0.228023
YGR146C,0.092305
YGR148C,21.230779
YGR149W,0.124702
YGR150C,0.010205
YGR153W,0.023464
YGR163W,0.075864
YGR165W,0.180685
YGR166W,0.04361
YGR169C,0.044681
YGR170W,0.015785
YGR174C,0.205036
YGR181W,1.238548
YGR185C,1.561373
YGR186W,0.200151
YGR187C,0.632288
YGR189C,2.219786
YGR191W,1.463142
YGR194C,0.087713
YGR205W,0.022484
YGR206W,0.152312
YGR211W,0.634391
YGR212W,0.007001
YGR214W,6.430261
YGR224W,0.010271
YGR230W,0.109053
YGR232W,0.487879
YGR233C,0.189697
YGR235C,0.782161
YGR238C,0.011798
YGR240C,2.654972
YGR244C,0.515385
YGR252W,0.111963
YGR253C,1.129808
YGR254W,10.540976
YGR256W,0.076264
YGR258C,0.039667
YGR260W,0.473849
YGR262C,0.276143
YGR266W,0.235309
YGR270W,0.165382
YGR272C,0.437631
YGR277C,0.55124
YGR278W,0.043753
YGR281W,0.177272
YGR285C,5.531899
YHL001W,7.676296
YHL002W,0.086485
YHL007C,0.069324
YHL014C,0.004486
YHL015W,8.583432
YHL017W,0.202175
YHL025W,0.255208
YHL029C,0.064804
YHL030W,0.098554
YHL031C,0.366782
YHL032C,0.020886
YHL040C,0.217388
YHL042W,0.019322
YHL050C,0.032392
YHR002W,0.018837
YHR003C,0.228556
YHR008C,0.913152
YHR009C,0.110476
YHR013C,0.46302
YHR014W,0.020308
YHR016C,0.118216
YHR017W,0.10582
YHR020W,2.288733
YHR022C,0.010207
YHR024C,0.321122
YHR025W,3.078168
YHR030C,0.262157
YHR032W,0.320985
YHR034C,0.091129
YHR039C,0.472379
YHR040W,0.179174
YHR041C,0.250204
YHR044C,0.017536
YHR046C,0.106678
YHR056C,0.079801
YHR060W,0.252613
YHR063C,0.640454
YHR064C,3.485487
YHR065C,0.343636
YHR066W,0.181932
YHR068W,2.359358
YHR074W,0.274974
YHR075C,0.038622
YHR081W,0.374496
YHR084W,0.086128
YHR097C,0.124132
YHR099W,0.004477
YHR104W,0.300269
YHR108W,0.267346
YHR110W,0.224382
YHR112C,0.312345
YHR113W,0.339861
YHR117W,0.14505
YHR118C,0.025193
YHR121W,0.530684
YHR126C,0.037069
YHR128W,1.81134
YHR129C,0.024416
YHR139C,0.026802
YHR140W,0.019788
YHR142W,0.359963
YHR143WA,0.882757
YHR146W,0.5471
YHR153C,0.016395
YHR159W,0.01118
YHR161C,0.033126
YHR165C,0.051438
YHR166C,0.025866
YHR169W,0.30679
YHR170W,0.960342
YHR177W,0.010694
YHR178W,0.027311
YHR179W,5.743388
YHR184W,0.064546
YHR187W,0.28629
YHR192W,0.279348
YHR193C,18.52025
YHR194W,0.041122
YHR201C,0.510447
YHR204W,0.019601
YHR207C,0.162317
YHR208W,2.208357
YHR209W,0.039001
YHR215W,1.350981
YHR216W,0.482708
YHR218W,0.050263
YHR219W,0.143614
YIL001W,0.059882
YIL003W,0.037625
YIL008W,1.098862
YIL009W,0.065704
YIL013C,0.045241
YIL018W,35.255769
YIL023C,0.239757
YIL027C,0.420314
YIL034C,0.634727
YIL036W,0.075086
YIL042C,0.053299
YIL051C,5.309323
YIL062C,2.907783
YIL065C,0.237692
YIL068C,0.107273
YIL069C,4.071421
YIL076W,1.106865
YIL077C,0.02932
YIL079C,0.078284
YIL084C,0.009887
YIL092W,0.017353
YIL094C,1.080103
YIL096C,0.144748
YIL097W,0.023972
YIL102C,0.036055
YIL104C,0.382021
YIL107C,0.0616
YIL110W,0.169569
YIL114C,0.210558
YIL115C,0.0794
YIL116W,0.408873
YIL117C,0.153253
YIL126W,0.057156
YIL128W,0.187941
YIL129C,0.124433
YIL130W,0.052026
YIL131C,0.17633
YIL133C,10.061518
YIL136W,0.082625
YIL137C,0.09016
YIL138C,0.174645
YIL142W,1.771144
YIL146C,0.023182
YIL147C,0.066968
YIL148W,5.308673
YIL150C,0.031658
YIL152W,0.304635
YIL157C,0.651476
YIL158W,0.930512
YIL160C,0.009572
YIL161W,0.121026
YIL162W,0.112385
YIL165C,0.398542
YIL173W,0.010188
YIL176C,0.205515
YIR006C,0.179438
YIR007W,0.066407
YIR008C,0.226402
YIR010W,0.064284
YIR011C,0.794598
YIR025W,0.052746
YIR029W,0.085208
YIR030C,0.04326
YIR033W,0.032495
YIR035C,0.833948
YJL002C,2.106401
YJL005W,0.02001
YJL008C,1.226867
YJL012C,1.374502
YJL013C,0.028679
YJL024C,0.047556
YJL026W,1.842247
YJL027C,0.205613
YJL029C,0.057242
YJL033W,0.146016
YJL034W,4.053222
YJL035C,0.110315
YJL037W,0.138446
YJL038C,0.018478
YJL041W,0.316596
YJL045W,0.025108
YJL047C,0.017281
YJL052W,2.585627
YJL054W,0.095321
YJL055W,1.703425
YJL056C,0.008419
YJL057C,0.045455
YJL058C,0.034776
YJL061W,0.160356
YJL063C,0.556762
YJL068C,0.425581
YJL070C,0.020076
YJL072C,0.173384
YJL076W,0.027344
YJL078C,0.143053
YJL091C,0.159972
YJL092W,0.023151
YJL098W,0.195921
YJL099W,0.040747
YJL104W,0.170223
YJL105W,0.004449
YJL108C,0.096832
YJL115W,0.296821
YJL121C,0.966778
YJL127C,0.008929
YJL128C,0.166812
YJL129C,0.107771
YJL130C,1.085204
YJL132W,0.007721
YJL133W,0.18501
YJL139C,0.05637
YJL140W,0.3957
YJL141C,0.037627
YJL143W,0.971943
YJL145W,0.522696
YJL147C,0.010633
YJL155C,0.092384
YJL157C,0.579864
YJL159W,4.525564
YJL166W,1.655624
YJL167W,3.107708
YJL173C,1.61989
YJL174W,1.48573
YJL176C,0.035975
YJL179W,0.181154
YJL186W,0.489624
YJL191W,2.387999
YJL193W,0.032047
YJL194W,0.01286
YJL197W,0.063483
YJL208C,0.136932
YJL209W,0.073612
YJL212C,0.288963
YJL222W,0.025395
YJL223C,0.185322
YJR006W,0.073171
YJR011C,0.017393
YJR016C,1.119064
YJR026W,0.836939
YJR031C,0.08576
YJR033C,0.023354
YJR034W,0.153938
YJR035W,0.007048
YJR040W,0.13383
YJR043C,0.197857
YJR044C,0.675927
YJR046W,0.063561
YJR051W,0.092583
YJR052W,0.033408
YJR053W,0.0102
YJR054W,0.051217
YJR055W,0.018423
YJR057W,0.209917
YJR062C,0.049856
YJR063W,0.5529
YJR064W,1.887081
YJR067C,0.204207
YJR069C,0.556099
YJR072C,1.084786
YJR073C,0.542414
YJR075W,0.438144
YJR077C,3.156254
YJR080C,0.171879
YJR086W,0.540918
YJR089W,0.027168
YJR091C,0.052855
YJR093C,0.082858
YJR094WA,15.761831
YJR096W,0.164637
YJR099W,0.166677
YJR101W,0.296702
YJR102C,0.042798
YJR106W,0.006399
YJR107W,0.116253
YJR116W,0.193285
YJR118C,0.161295
YJR119C,0.01017
YJR120W,0.095903
YJR121W,1.194041
YJR122W,0.050097
YJR123W,21.668497
YJR126C,0.121676
YJR130C,0.071767
YJR131W,0.125192
YJR133W,0.865654
YJR136C,0.048934
YJR138W,0.045714
YJR139C,2.465368
YJR141W,0.069436
YJR145C,14.355383
YJR148W,1.755522
YJR151C,0.066118
YJR160C,0.010052
YJR161C,0.338395
YKL003C,0.628119
YKL004W,0.347956
YKL005C,0.027761
YKL007W,0.426038
YKL008C,0.593444
YKL009W,2.267623
YKL010C,0.096714
YKL017C,0.036647
YKL018W,0.107881
YKL033W,0.041807
YKL041W,0.181135
YKL042W,0.054012
YKL050C,0.008273
YKL051W,0.037674
YKL058W,0.462105
YKL061W,0.032258
YKL062W,0.120839
YKL064W,0.033014
YKL071W,0.008395
YKL074C,0.202088
YKL077W,1.037
YKL078W,0.108441
YKL079W,0.05315
YKL080W,1.189798
YKL081W,2.005565
YKL084W,0.662181
YKL088W,0.153851
YKL090W,0.009463
YKL091C,0.124242
YKL098W,0.060934
YKL099C,0.544539
YKL100C,0.235599
YKL101W,0.065595
YKL106W,0.122173
YKL114C,0.345536
YKL127W,0.977001
YKL129C,0.018173
YKL130C,0.117629
YKL132C,0.02562
YKL133C,0.03801
YKL134C,0.011384
YKL135C,0.291469
YKL139W,0.035112
YKL143W,0.042663
YKL144C,0.30561
YKL150W,0.911599
YKL166C,0.096718
YKL173W,0.123475
YKL178C,0.036808
YKL179C,0.107257
YKL183W,0.184094
YKL185W,0.14863
YKL189W,0.07164
YKL192C,2.475889
YKL193C,0.225868
YKL194C,0.029033
YKL205W,0.111637
YKL206C,0.182773
YKL210W,1.297348
YKL215C,0.058532
YKL216W,3.000591
YKL218C,0.093576
YKR001C,0.410085
YKR005C,0.021844
YKR010C,0.038969
YKR013W,2.715594
YKR016W,0.19694
YKR017C,0.012501
YKR021W,0.05107
YKR023W,0.037946
YKR030W,0.226064
YKR034W,0.01525
YKR036C,0.064853
YKR037C,0.101647
YKR042W,17.924623
YKR043C,1.872253
YKR044W,0.027982
YKR048C,1.992809
YKR049C,0.358646
YKR053C,0.035512
YKR054C,0.011132
YKR055W,0.073974
YKR058W,0.021038
YKR060W,0.301394
YKR063C,0.062139
YKR065C,0.843511
YKR066C,1.136947
YKR069W,0.039137
YKR070W,0.332003
YKR071C,0.588617
YKR077W,0.081557
YKR082W,0.130642
YKR090W,0.027617
YKR096W,0.074197
YKR098C,0.011335
YKR100C,0.134483
YKR102W,0.01434
YKR104W,0.012451
YLL001W,0.103229
YLL003W,0.019526
YLL006W,0.030985
YLL009C,0.864589
YLL010C,0.073111
YLL011W,0.224669
YLL018C,2.34169
YLL023C,1.142777
YLL027W,0.414672
YLL036C,0.251775
YLL038C,0.023644
YLL042C,0.147153
YLL048C,0.372454
YLL051C,0.065147
YLL058W,0.131681
YLL060C,0.11603
YLL061W,0.079763
YLL062C,0.071547
YLL064C,0.723991
YLL067C,0.169431
YLR001C,0.092981
YLR005W,0.241769
YLR007W,0.06435
YLR008C,0.267131
YLR015W,0.072982
YLR016C,0.28642
YLR022C,0.308813
YLR027C,2.094802
YLR030W,0.007479
YLR031W,0.014504
YLR034C,0.879368
YLR040C,0.243435
YLR043C,1.949697
YLR045C,0.039306
YLR047C,0.007546
YLR048W,6.04835
YLR049C,0.129982
YLR051C,0.326787
YLR052W,0.097453
YLR056W,6.617447
YLR058C,4.158187
YLR059C,0.257503
YLR061W,27.958166
YLR063W,0.04737
YLR065C,1.952544
YLR068W,0.269392
YLR072W,0.105807
YLR080W,0.031346
YLR081W,0.143416
YLR088W,0.372586
YLR089C,0.489595
YLR094C,0.039663
YLR095C,0.096326
YLR096W,0.054637
YLR097C,0.012555
YLR099C,0.315682
YLR102C,0.072654
YLR115W,0.053284
YLR118C,0.269326
YLR125W,0.009696
YLR127C,0.004244
YLR128W,0.054229
YLR130C,0.158399
YLR133W,0.161476
YLR138W,0.159206
YLR139C,0.02423
YLR147C,0.777304
YLR149C,0.017224
YLR160C,0.010622
YLR161W,0.121548
YLR162W,0.004094
YLR164W,0.016974
YLR165C,0.050062
YLR166C,0.025059
YLR167W,20.160645
YLR177W,0.068541
YLR179C,1.546025
YLR191W,0.10571
YLR192C,1.149631
YLR196W,1.408318
YLR197W,1.45097
YLR200W,0.287469
YLR201C,0.179882
YLR203C,0.342109
YLR204W,0.656251
YLR208W,1.926092
YLR209C,0.304394
YLR211C,0.081566
YLR213C,0.037807
YLR219W,0.10757
YLR222C,0.497792
YLR224W,0.043889
YLR225C,0.253225
YLR228C,0.030328
YLR239C,0.07468
YLR242C,0.032703
YLR248W,0.61242
YLR249W,10.2418
YLR253W,0.051458
YLR256W,0.105383
YLR259C,7.086537
YLR264W,2.04017
YLR265C,0.026163
YLR267W,0.004399
YLR268W,0.284183
YLR273C,0.013273
YLR274W,0.052262
YLR278C,0.011058
YLR281C,0.059724
YLR283W,0.139206
YLR287C,0.09345
YLR287CA,12.945238
YLR288C,0.043787
